suite_version,suite_id,scenario_id,tier,seed,method_name,method_config_json,metric_T_r2,metric_T_dtw,metric_S_spectral_corr,metric_S_maxlag_corr,metric_S_r2,length,timestamp,package_version,git_commit,scenario_periods_json
v0.0.0,core,S01_period_drift,1,0,stl,"{""robust"":true,""seasonal_deg"":1,""trend_deg"":1}",0.83,0.34,0.84,0.79,0.77,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S01_period_drift,1,0,mstl,"{""periods"":[7,30],""stl_kwargs"":{""robust"":true}}",0.78,0.357,0.89,0.84,0.82,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S01_period_drift,1,0,robust_stl,"{""robust"":true,""seasonal_window"":21}",0.77,0.361,0.82,0.86,0.75,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S01_period_drift,1,0,spectral_adapt,"{""max_modes"":5,""adaptive"":true}",0.79,0.354,0.98,0.92,0.91,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S01_period_drift,1,0,basis_fusion,"{""basis"":""wavelet"",""levels"":4}",0.75,0.368,0.87,0.83,0.8,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S02_regime_switch,2,0,stl,"{""robust"":true,""seasonal_deg"":1,""trend_deg"":1}",0.76,0.464,0.77,0.74,0.7,720,2026-01-22T14:00:00Z,0.0.0,,[12]
v0.0.0,core,S02_regime_switch,2,0,mstl,"{""periods"":[7,30],""stl_kwargs"":{""robust"":true}}",0.73,0.475,0.82,0.79,0.75,720,2026-01-22T14:00:00Z,0.0.0,,[12]
v0.0.0,core,S02_regime_switch,2,0,robust_stl,"{""robust"":true,""seasonal_window"":21}",0.72,0.478,0.75,0.81,0.68,720,2026-01-22T14:00:00Z,0.0.0,,[12]
v0.0.0,core,S02_regime_switch,2,0,spectral_adapt,"{""max_modes"":5,""adaptive"":true}",0.74,0.471,0.86,0.83,0.79,720,2026-01-22T14:00:00Z,0.0.0,,[12]
v0.0.0,core,S02_regime_switch,2,0,basis_fusion,"{""basis"":""wavelet"",""levels"":4}",0.75,0.468,0.8,0.78,0.73,720,2026-01-22T14:00:00Z,0.0.0,,[12]
v0.0.0,core,S03_event_pulse,2,0,stl,"{""robust"":true,""seasonal_deg"":1,""trend_deg"":1}",0.78,0.427,0.76,0.75,0.69,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S03_event_pulse,2,0,mstl,"{""periods"":[7,30],""stl_kwargs"":{""robust"":true}}",0.75,0.438,0.81,0.8,0.74,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S03_event_pulse,2,0,robust_stl,"{""robust"":true,""seasonal_window"":21}",0.74,0.441,0.74,0.82,0.67,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S03_event_pulse,2,0,spectral_adapt,"{""max_modes"":5,""adaptive"":true}",0.76,0.434,0.85,0.84,0.78,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S03_event_pulse,2,0,basis_fusion,"{""basis"":""wavelet"",""levels"":4}",0.72,0.448,0.79,0.83,0.72,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S04_multiseasonal,1,0,stl,"{""robust"":true,""seasonal_deg"":1,""trend_deg"":1}",0.82,0.333,0.85,0.8,0.78,840,2026-01-22T14:00:00Z,0.0.0,,"[7,30]"
v0.0.0,core,S04_multiseasonal,1,0,mstl,"{""periods"":[7,30],""stl_kwargs"":{""robust"":true}}",0.79,0.344,0.95,0.89,0.88,840,2026-01-22T14:00:00Z,0.0.0,,"[7,30]"
v0.0.0,core,S04_multiseasonal,1,0,robust_stl,"{""robust"":true,""seasonal_window"":21}",0.78,0.347,0.83,0.87,0.76,840,2026-01-22T14:00:00Z,0.0.0,,"[7,30]"
v0.0.0,core,S04_multiseasonal,1,0,spectral_adapt,"{""max_modes"":5,""adaptive"":true}",0.8,0.34,1.0,0.94,0.93,840,2026-01-22T14:00:00Z,0.0.0,,"[7,30]"
v0.0.0,core,S04_multiseasonal,1,0,basis_fusion,"{""basis"":""wavelet"",""levels"":4}",0.76,0.354,0.88,0.84,0.81,840,2026-01-22T14:00:00Z,0.0.0,,"[7,30]"
v0.0.0,core,S05_trend_break,3,0,stl,"{""robust"":true,""seasonal_deg"":1,""trend_deg"":1}",0.71,0.522,0.74,0.71,0.67,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S05_trend_break,3,0,mstl,"{""periods"":[7,30],""stl_kwargs"":{""robust"":true}}",0.68,0.532,0.79,0.76,0.72,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S05_trend_break,3,0,robust_stl,"{""robust"":true,""seasonal_window"":21}",0.67,0.536,0.72,0.78,0.65,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S05_trend_break,3,0,spectral_adapt,"{""max_modes"":5,""adaptive"":true}",0.69,0.528,0.83,0.8,0.76,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S05_trend_break,3,0,basis_fusion,"{""basis"":""wavelet"",""levels"":4}",0.65,0.542,0.77,0.75,0.7,960,2026-01-22T14:00:00Z,0.0.0,,[24]
v0.0.0,core,S06_noise_bursts,3,0,stl,"{""robust"":true,""seasonal_deg"":1,""trend_deg"":1}",0.73,0.495,0.75,0.73,0.68,720,2026-01-22T14:00:00Z,0.0.0,,[12]
v0.0.0,core,S06_noise_bursts,3,0,mstl,"{""periods"":[7,30],""stl_kwargs"":{""robust"":true}}",0.7,0.505,0.8,0.78,0.73,720,2026-01-22T14:00:00Z,0.0.0,,[12]
v0.0.0,core,S06_noise_bursts,3,0,robust_stl,"{""robust"":true,""seasonal_window"":21}",0.74,0.491,0.76,0.8,0.69,720,2026-01-22T14:00:00Z,0.0.0,,[12]
v0.0.0,core,S06_noise_bursts,3,0,spectral_adapt,"{""max_modes"":5,""adaptive"":true}",0.71,0.502,0.84,0.82,0.77,720,2026-01-22T14:00:00Z,0.0.0,,[12]
v0.0.0,core,S06_noise_bursts,3,0,basis_fusion,"{""basis"":""wavelet"",""levels"":4}",0.67,0.516,0.78,0.77,0.71,720,2026-01-22T14:00:00Z,0.0.0,,[12]
